study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,language,check 
akl_2024,akl_2024,akl_2024_item1,Title,Title,1,Identify the report as a systematic review.,Title,english,km
akl_2024,akl_2024,akl_2024_item10,Methods,Living mode parameters,L1,Specify the living mode parameters.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item11,Methods,Living mode parameters,L1a,"Specify the planned schedule of the search for each source (e.g., at a prespecified interval, following predefined triggers).",Methodology,english,km
akl_2024,akl_2024,akl_2024_item12,Methods,Living mode parameters,L1b,"Specify the planned schedules for the remaining steps of the systematic review (e.g., screening, data collection, risk of bias assessment, analysis, certainty of evidence assessment, publication).",Methodology,english,km
akl_2024,akl_2024,akl_2024_item13,Methods,Living mode parameters,L1c,"Specify the plan for retirement from the living mode (e.g., based on a prespecified timeline, following predefined triggers), if there is one. If there is no such plan, indicate so.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item14,Methods,Eligibility criteria,5,Specify the inclusion and exclusion criteria for the review and how studies were grouped for the syntheses.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item16,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item19,Methods,Data collection process,9a,Describe whether the review team updated or planned to update collected data for a previously included study when relevant.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item2,Title,Title,1a,Identify the report as 'living' in the title.,Title,english,km
akl_2024,akl_2024,akl_2024_item20,Methods,Data items,10a,"List and define all outcomes for which data were sought. Specify whether all results that were compatible with each outcome domain in each study were sought (e.g., for all measures, time points, analyses), and if not, the methods used to decide which results to collect.",Methodology,english,km
