concept,unique,shared,total,pct_shared
Report any limitations in the conducted evidence synthesis,8,28,36,77.77777777777779
Report the results of the study selection process,8,28,36,77.77777777777779
Report the characteristics extracted from each studies included in the evidence synthesis,14,21,35,60
Report the method used to assess study eligibility for inclusion in the evidence synthesis,14,21,35,60
Report the scientific literature databases used to conduct the literature search,14,21,35,60
Report an interpretation of the results,18,15,33,45.45454545454545
Report each of the data extraction variables extracted,18,15,33,45.45454545454545
Report the eligibility criteria for the evidence synthesis,18,15,33,45.45454545454545
Report the method used to assess the risk of bias,18,15,33,45.45454545454545
Report the methodology used to conduct the evidence synthesis,18,15,33,45.45454545454545
Report the objectives of the evidence synthesis,18,15,33,45.45454545454545
Report the questions the authors sought to address in the evidence synthesis,18,15,33,45.45454545454545
Report the rationale for selecting the methodology used to conduct the evidence synthesis,18,15,33,45.45454545454545
Report the strategy used to collect data from the studies included in the evidence synthesis,18,15,33,45.45454545454545
Report the strategy used to perform the meta-analysis,18,15,33,45.45454545454545
Report any contact with study authors to retrieve additional information relevant to the literature search strategy,20,10,30,33.33333333333333
Report any limitations applied to the search strategy,20,10,30,33.33333333333333
Report each of the studies excluded during full-text screening,20,10,30,33.33333333333333
Report the complete results from the meta-analysis,20,10,30,33.33333333333333
Report the dates that the scientific literature database searches were conducted,20,10,30,33.33333333333333
Report the implications of the evidence synthesis results,20,10,30,33.33333333333333
Report the number of reviewers who conducted the selection process,20,10,30,33.33333333333333
Report the rationale for conducting the evidence synthesis,20,10,30,33.33333333333333
Report the relevant study designs in the eligibility criteria of the evidence synthesis,20,10,30,33.33333333333333
Report the relevant timeframe in the eligibility criteria of the evidence synthesis,20,10,30,33.33333333333333
Report the search terms used in each scientific literature database,20,10,30,33.33333333333333
Report the sources of support received for conducting the evidence synthesis,20,10,30,33.33333333333333
Report any deviations from the registered protocol,20,6,26,23.076923076923077
Report the framework used to formulate the evidence synthesis question,20,6,26,23.076923076923077
Report the institutional affiliation of each author,20,6,26,23.076923076923077
Report the name of the effect size measure used,20,6,26,23.076923076923077
Report the name of the registry holding the protocol,20,6,26,23.076923076923077
Report the rationale for selecting each of the data extraction variables,20,6,26,23.076923076923077
Report the registration number of the protocol,20,6,26,23.076923076923077
Report the registries used to conduct the literature search,20,6,26,23.076923076923077
Report the relevant populations in the eligibility criteria of the evidence synthesis,20,6,26,23.076923076923077
Report the relevant publication status in the eligibility criteria of the evidence synthesis,20,6,26,23.076923076923077
Report the results of the risk of bias assessment,20,6,26,23.076923076923077
Report the strategy to retrieve grey literature,20,6,26,23.076923076923077
Report the total number of records identified across all sources in the literature search strategy,20,6,26,23.076923076923077
Report a visualisation of the characteristics from each of the studies included in the evidence synthesis,18,3,21,14.285714285714285
Report any conflicts of interest that may influence the conduct or results of the evidence synthesis,18,3,21,14.285714285714285
Report any data transformations applied to prepare extracted data for meta-analysis,18,3,21,14.285714285714285
Report any limitations in the studies included in the evidence synthesis,18,3,21,14.285714285714285
Report the dependency structure between effect size measures accounted for in the meta-analysis,18,3,21,14.285714285714285
Report the full name of each author,18,3,21,14.285714285714285
Report the implications of the evidence synthesis results for future research,18,3,21,14.285714285714285
Report the implications of the evidence synthesis results for policy,18,3,21,14.285714285714285
Report the implications of the evidence synthesis results for practice,18,3,21,14.285714285714285
Report the method used in sensitivity analysis to test the robustness of the meta-analysis results,18,3,21,14.285714285714285
Report the method used to assess risk of bias due to missing results,18,3,21,14.285714285714285
Report the method used to explore potential sources of heterogeneity,18,3,21,14.285714285714285
Report the outcomes for which data were extracted,18,3,21,14.285714285714285
Report the rationale for selecting the scientific literature databases used to conduct the literature search,18,3,21,14.285714285714285
Report the raw data extracted from each of the studies included in the evidence synthesis,18,3,21,14.285714285714285
Report the reason for exclusion for each study rejected at full-text screening,18,3,21,14.285714285714285
Report the relevant comparators in the eligibility criteria of the evidence synthesis,18,3,21,14.285714285714285
Report the relevant geographical locations in the eligibility criteria of the evidence synthesis,18,3,21,14.285714285714285
Report the relevant interventions in the eligibility criteria of the evidence synthesis,18,3,21,14.285714285714285
Report the relevant languages in the eligibility criteria of the evidence synthesis,18,3,21,14.285714285714285
Report the results from each of the sensitivity analysis,18,3,21,14.285714285714285
Report the strategy to perfom the literature search,18,3,21,14.285714285714285
Report the strategy used to perform the qualitative synthesis,18,3,21,14.285714285714285
Report the strategy used to select literature in additional languages,18,3,21,14.285714285714285
Report the total number of people which conducted the literature search,18,3,21,14.285714285714285
Report whether the literature screening was conducted independently,18,3,21,14.285714285714285
Report whether there is a publicly available protocol for the evidence synthesis,18,3,21,14.285714285714285
Report a measure of precision around the pooled effect size point estimate,14,1,15,6.666666666666667
Report a measure of statistical heterogeneity associated with the pooled effect size estimate,14,1,15,6.666666666666667
Report any additional literature search strategies used in the evidence synthesis,14,1,15,6.666666666666667
Report any contact with study authors to retrieve additional information relevant to the data collection process,14,1,15,6.666666666666667
Report any ethics approval sought for the evidence synthesis,14,1,15,6.666666666666667
Report background information on the topic of the evidence synthesis,14,1,15,6.666666666666667
Report each study from which data were collected in the reference list,14,1,15,6.666666666666667
Report quotations for each of the characteristics extracted from each of the studies included in the evidence synthesis,14,1,15,6.666666666666667
Report the abstract in a structured format,14,1,15,6.666666666666667
Report the agreement rate between the reviewers who conducted the data collection process,14,1,15,6.666666666666667
Report the aspects of the studies examined for eligibility,14,1,15,6.666666666666667
Report the consistency of study selection process outcomes between reviewers,14,1,15,6.666666666666667
Report the contact details for each author,14,1,15,6.666666666666667
Report the contribution of each author to the review,14,1,15,6.666666666666667
Report the data characteristics of studies included in the meta-analysis,14,1,15,6.666666666666667
Report the description for each of the data extraction variables,14,1,15,6.666666666666667
Report the experience of each of the people which conducted the literature search,14,1,15,6.666666666666667
Report the experience of the people who conducted the study selection process,14,1,15,6.666666666666667
Report the experience of the reviewers who conducted the literature search,14,1,15,6.666666666666667
Report the languages used to search the scientific literature databases,14,1,15,6.666666666666667
Report the method used to assess consistency of data extraction between the reviewers who conducted screening,14,1,15,6.666666666666667
Report the method used to handle missing data required for meta-analysis,14,1,15,6.666666666666667
Report the method used to visualise the results of the meta-analysis,14,1,15,6.666666666666667
Report the moderator variables included in the meta-regression,14,1,15,6.666666666666667
Report the number of reviewers who conducted the data collection process,14,1,15,6.666666666666667
Report the number of reviewers who conducted the risk of bias assessment,14,1,15,6.666666666666667
Report the pooled effect size point estimate,14,1,15,6.666666666666667
Report the rationale for selecting each moderator variable,14,1,15,6.666666666666667
Report the rationale for selecting the strategy used to perform the meta-analysis,14,1,15,6.666666666666667
Report the rationale for selecting the studies that were used to conduct the citation search,14,1,15,6.666666666666667
Report the rationale for selecting the study design of each study included in the evidence synthesis,14,1,15,6.666666666666667
Report the response rate of authors who were contacted for data collection,14,1,15,6.666666666666667
Report the results from the certainty of the evidence assessment,14,1,15,6.666666666666667
Report the results of any analyses used to explore sources of heterogeneity,14,1,15,6.666666666666667
Report the results of the assessment of risk of bias due to missing results,14,1,15,6.666666666666667
Report the results of the overall statistical syntheses,14,1,15,6.666666666666667
Report the results of the qualitative syntheses,14,1,15,6.666666666666667
Report the sample size from each of the studies included in the meta-analysis,14,1,15,6.666666666666667
Report the search terms used in each registry,14,1,15,6.666666666666667
Report the software used to manage screening decisions during the study selection process,14,1,15,6.666666666666667
Report the strategy used to estimate the comprehensiveness of the literature search,14,1,15,6.666666666666667
Report the studies which were used to conduct the citation search,14,1,15,6.666666666666667
Report the summary effect size point estimates,14,1,15,6.666666666666667
Report the total number of studies included in the evidence synthesis,14,1,15,6.666666666666667
Report the use of controlled-vocabulary term explosion in the search strategy,14,1,15,6.666666666666667
Report the version number of the evidence synthesis,14,1,15,6.666666666666667
Report the version of the scientific literature databases used to conduct the literature search,14,1,15,6.666666666666667
Report whether the data collection process was conducted independently,14,1,15,6.666666666666667
Report a citation for each of the studies included in the evidence synthesis,8,0,8,0
Report a discussion of the results,8,0,8,0
Report a flow diagram summarising the outcomes of the study selection process,8,0,8,0
Report a justification for any anticipated changes to the review in future versions,8,0,8,0
Report a logic model used in each study included in the evidence synthesis,8,0,8,0
Report a measure of precision around the effect size point estimate for each study included in the meta-analysis,8,0,8,0
Report a measure of precision of the results of any analyses used to explore sources of heterogeneity,8,0,8,0
Report a plain-language statement for the general public,8,0,8,0
Report a summary of the evidence included in the evidence synthesis,8,0,8,0
Report a table of the characteristics of each of the studies included in the evidence synthesis,8,0,8,0
Report a visualisation of the heterogeneity assessment results,8,0,8,0
Report a visualisation of the pooled effect size point estimate,8,0,8,0
Report an evaluation of the interventions used in each study included in the evidence synthesis,8,0,8,0
Report an explanation of how the interventions used in each study included in the evidence synthesis may work,8,0,8,0
Report an interpretation of the certainty of evidence assessment results,8,0,8,0
Report an interpretation of the effect size measure used,8,0,8,0
Report an interpretation of the heterogeneity assessment results,8,0,8,0
Report an interpretation of the publication bias assessment results,8,0,8,0
Report an interpretation of the risk of bias assessment results,8,0,8,0
Report an interpretation of the use of alternative priors,8,0,8,0
Report any additional studies found when updating the literature search strategy,8,0,8,0
Report any alternative effect measures used as part of a sensitivity analysis,8,0,8,0
Report any anticipated changes to the review in future versions of the review,8,0,8,0
Report any assumptions made about the interventions used in each study included in the evidence synthesis,8,0,8,0
Report any assumptions made during the data collection process,8,0,8,0
Report any changes made to the methodology since the previous version of the review,8,0,8,0
Report any changes to the results during the update of the review,8,0,8,0
Report any changes to the screening process results during the update of the review,8,0,8,0
Report any contact with organisations to retrieve additional information relevant to the literature search strategy,8,0,8,0
Report any corrections applied to the effect size measure used,8,0,8,0
Report any identified issues with the individual patient data items extracted,8,0,8,0
Report any issues identified in the individual patient data,8,0,8,0
Report any limitations identified in the studies included in the review,8,0,8,0
Report any limitations in the characteristics of the studies included in the evidence synthesis,8,0,8,0
Report any peer-review process used to assess the comprehensiveness of the literature search,8,0,8,0
Report any remaining gaps in understanding identified following the review,8,0,8,0
Report any reporting guidelines used to prepare the evidence synthesis,8,0,8,0
Report any restrictions on the literature search strategy,8,0,8,0
Report any strengths in the conducted evidence synthesis,8,0,8,0
Report any tool(s) used to translate the scientific literature database search strings into additional languages,8,0,8,0
Report any update to the search strategy undertaken during the evidence synthesis,8,0,8,0
Report each comparator from which data were extracted in the included studies,8,0,8,0
Report each data extraction variable used for moderator analysis,8,0,8,0
Report each intervention for which data were extracted from the included studies,8,0,8,0
Report each population for which data were extracted from the included studies,8,0,8,0
Report each study design for which data were extracted from the included studies,8,0,8,0
Report how agreement between reviewers for the risk of bias assessment outcomes was calculated,8,0,8,0
Report how any conflicts of interest were managed,8,0,8,0
Report how articles authored by the screening team were handled during the selection process,8,0,8,0
Report how crowdsourcing was incorporated into the literature selection process,8,0,8,0
Report how dependent effect sizes were handled during the data collection process,8,0,8,0
Report how dependent effect sizes were handled during the study selection process,8,0,8,0
Report how disadvantage was defined in the rationale for the evidence synthesis,8,0,8,0
Report how disagreements between reviewers in screening decisions were resolved,8,0,8,0
Report how disagreements between reviewers in the certainty assessment were resolved,8,0,8,0
Report how disagreements between reviewers in the data collection process were resolved,8,0,8,0
Report how disagreements between reviewers in the risk of bias assessment were resolved,8,0,8,0
Report how missing data in the synthesis was handled in the statistical analyses,8,0,8,0
Report how the internally classified automation tool(s) for the data collection process were trained,8,0,8,0
Report how the internally classified automation tool(s) for the data collection process were validated,8,0,8,0
Report how the internally classified automation tool(s) used in the certainty assessment were trained,8,0,8,0
Report how the internally classified automation tool(s) used in the certainty assessment were validated,8,0,8,0
Report how the internally classified automation tool(s) used in the literature selection process was trained,8,0,8,0
Report how the internally classified automation tool(s) used in the literature selection process was validated,8,0,8,0
Report how the risk of bias assessment was incorporated into the meta-analysis,8,0,8,0
Report how the risk of bias assessment was piloted,8,0,8,0
Report method to visualise the results from the certainty of the evidence assessment,8,0,8,0
Report quotations for each of the data extraction variables,8,0,8,0
Report references to previous versions of the evidence synthesis,8,0,8,0
Report references to previously published evidence syntheses on the topic,8,0,8,0
Report the agreement rate between reviewers who conducted the study selection process,8,0,8,0
Report the arguments specified for each function used in the software to perform the meta-analysis,8,0,8,0
Report the automation tool(s) used in the literature selection process,8,0,8,0
Report the bibliographic fields that were searched in each scientific literature database,8,0,8,0
Report the characteristics extracted from each of the included studies,8,0,8,0
Report the comparators used in each study included in the evidence synthesis,8,0,8,0
Report the conceptual structure used to design the search terms in each scientific literature database,8,0,8,0
Report the conditions under which the extracted data are available,8,0,8,0
Report the contact details each corresponding author,8,0,8,0
Report the counts of events and non-events in each study included in the meta-analysis,8,0,8,0
Report the data extraction strategy used in the review,8,0,8,0
Report the date the citation search was conducted,8,0,8,0
Report the dependency structure accounted for in the meta-analysis,8,0,8,0
Report the description associated with each data extraction variable,8,0,8,0
Report the direction of the pooled effect size point estimate,8,0,8,0
Report the effect size point estimates for each study included in the meta-analysis,8,0,8,0
Report the eligibility criteria used to determine study inclusion in each meta-analysis,8,0,8,0
Report the experience of the reviewers who conducted the data collection process,8,0,8,0
Report the extracted description for each data extraction variable from each included study,8,0,8,0
Report the formula used to calculate the effect size measure,8,0,8,0
Report the formula used to calculate the sampling variance of the effect size measure,8,0,8,0
Report the full code used to conduct the analysis of the evidence synthesis,8,0,8,0
Report the functions used in the analysis software for the meta-analysis,8,0,8,0
Report the generalisability of the results of the evidence synthesis,8,0,8,0
Report the graphical output used to assess risk of bias due to missing results,8,0,8,0
Report the hypothesis addressed by the evidence synthesis,8,0,8,0
Report the implications of missing data for the results of the evidence synthesis,8,0,8,0
Report the implications of the evidence synthesis results for educators,8,0,8,0
Report the institutional subscriptions used to access the scientific literature databases,8,0,8,0
Report the interventions used in each study included in the evidence synthesis,8,0,8,0
Report the keywords used in the evidence synthesis,8,0,8,0
Report the languages used to search the registries,8,0,8,0
Report the magnitude of the pooled effect size point estimate,8,0,8,0
Report the measures of model performance,8,0,8,0
Report the measures used to assess model performance,8,0,8,0
Report the method used to account for heteroscedasticity in effect size measures,8,0,8,0
Report the method used to assess consistency between reviewers who conducted the study selection process,8,0,8,0
Report the method used to assess for potential risk of bias due to missing studies,8,0,8,0
Report the method used to assess the certainty of the evidence,8,0,8,0
Report the method used to calculate the fragility index for the meta-analysis,8,0,8,0
Report the method used to determine which eligible studies were included in each meta-analysis,8,0,8,0
Report the method used to handle missing data in the meta-analysis,8,0,8,0
Report the method used to identify outlying or influential studies,8,0,8,0
Report the method used to obtain posterior inferences,8,0,8,0
Report the methodology used to assess heterogeneity,8,0,8,0
Report the methodology used to assess the certainty of evidence included in the review,8,0,8,0
Report the methodology used to assess the certainty of the evidence included in the review,8,0,8,0
Report the methodology used to conduct the evidence synthesis in the keywords,8,0,8,0
Report the methodology used to explore sources of heterogeneity,8,0,8,0
Report the methodology used to identify key knowledge gaps among the included data characteristics,8,0,8,0
Report the methodology used to update the literature search strategy,8,0,8,0
Report the number of individual patient data items extracted,8,0,8,0
Report the number of records remaining after duplicate removal,8,0,8,0
Report the number of reviewers who conducted the certainty assessment,8,0,8,0
Report the number of studies for which data collection was cross-checked,8,0,8,0
Report the number of studies included in the meta-analysis,8,0,8,0
Report the number of studies included in the statistical syntheis,8,0,8,0
Report the number of studies screened by more than one reviewer,8,0,8,0
Report the outcomes used in each study included in the evidence synthesis,8,0,8,0
Report the p-value associated with the pooled effect size point estimate,8,0,8,0
Report the p-value associated with the statistical test for risk of bias due to missing results,8,0,8,0
Report the parameters that define the living review mode,8,0,8,0
Report the people who conducted the meta-analysis,8,0,8,0
Report the performance of any automation tool(s) used in the assessment of risk of bias due to missing results,8,0,8,0
Report the performance of the automation tool(s) used assess the certainty of evidence,8,0,8,0
Report the planned retirement for the review,8,0,8,0
Report the planned schedule for updating the review,8,0,8,0
Report the planned timeline for the evidence synthesis as specified in the protocol,8,0,8,0
Report the pooled effect size point estimate for any analyses used to explore sources of heterogeneity,8,0,8,0
Report the populations used in each study included in the evidence synthesis,8,0,8,0
Report the potential impact of the limitations in the evidence synthesis process,8,0,8,0
Report the potential implications of the results of the evidence synthesis,8,0,8,0
Report the primary results of the review,8,0,8,0
Report the prior distribution(s) specified for a Bayesian meta-analysis,8,0,8,0
Report the process used to select among candidate models,8,0,8,0
Report the purpose of the literature search strategy,8,0,8,0
Report the qualifications of each author,8,0,8,0
Report the rationale for each risk of bias assessment judgement,8,0,8,0
Report the rationale for including each study in relation to the objectives of the review,8,0,8,0
Report the rationale for including the selected interventions in the studies included in the evidence synthesis,8,0,8,0
Report the rationale for not conducting a meta-analysis,8,0,8,0
Report the rationale for selecting study authors to contact for additional information,8,0,8,0
Report the rationale for selecting the effect size measure used,8,0,8,0
Report the rationale for selecting the method used to visualise the results of the meta-analysis,8,0,8,0
Report the rationale for selecting the models used to perform the meta-analysis,8,0,8,0
Report the rationale for selecting the moderator variables included in the evidence synthesis,8,0,8,0
Report the rationale for selecting the tool(s) used to conduct the risk of bias assessment,8,0,8,0
Report the rationale for the assumed dependency structure accounted for in the meta-analysis,8,0,8,0
Report the rationale for the eligibility criteria in the evidence synthesis,8,0,8,0
Report the rationale for the method used to handle missing data in the meta-analysis,8,0,8,0
Report the rationale for the results of the certainty of evidence assessement used in the review,8,0,8,0
Report the records rejected by the automation tool(s) during the literature screening process,8,0,8,0
Report the records rejected by the automation tool(s) during the literature selection process,8,0,8,0
Report the relationship between each of the study characteristics,8,0,8,0
Report the relevant data formats in the eligibility criteria of the evidence synthesis,8,0,8,0
Report the relevant outcomes in the eligibility criteria of the evidence synthesis,8,0,8,0
Report the reliability of the collected items based on challenges during the data collection process,8,0,8,0
Report the reliability of the conclusion in the evidence synthesis,8,0,8,0
Report the results from the model selection process,8,0,8,0
Report the results of any analysis conducted due to the living mode,8,0,8,0
Report the reuse of literature search strategies from other evidence syntheses,8,0,8,0
Report the role of stakeholders in formulating the objectives of the evidence synthesis,8,0,8,0
Report the screening decisions made by each reviewer who conducted the study selection process,8,0,8,0
Report the search strategy used to identify grey literature,8,0,8,0
Report the software packages used to perform the meta-analysis,8,0,8,0
Report the software used to conduct the data collection process,8,0,8,0
Report the software used to deduplicate the search records during the literature search,8,0,8,0
Report the software used to perform the meta-analysis,8,0,8,0
Report the source of the data extracted,8,0,8,0
Report the sources of information the literature search strategy sought,8,0,8,0
Report the statistical power of the meta-analysis,8,0,8,0
Report the statistical significance of the results of any analyses used to explore sources of heterogeneity,8,0,8,0
Report the strategy for the data collection process,8,0,8,0
Report the strategy to perform the individual patient data meta-analysis,8,0,8,0
Report the strategy used to collect data from the studies in additional languages,8,0,8,0
Report the strategy used to deduplicate the search records during the scientific database search,8,0,8,0
Report the strategy used to develop the scientific literature database search string,8,0,8,0
Report the strategy used to retrieve information from potentially relevant authors.,8,0,8,0
Report the strategy used to search for literature in additional languages,8,0,8,0
Report the structure of each model used in the meta-analysis,8,0,8,0
Report the structure of each model used to perform the meta-analysis,8,0,8,0
Report the studies included in the meta-analysis,8,0,8,0
Report the study design of each study included in the evidence synthesis,8,0,8,0
Report the timeframe in which data were extracted,8,0,8,0
Report the tool used to conduct the risk of bias assessment,8,0,8,0
Report the tool(s) used to conduct the certainity of evidence assessment,8,0,8,0
Report the tool(s) used to conduct the risk of bias assessment,8,0,8,0
Report the total number of authors contacted for information regarding the study selection process,8,0,8,0
Report the total number of authors who were contacted for information regarding the data collection process,8,0,8,0
Report the total number of organisational websites used to conduct the literature search,8,0,8,0
Report the total number of registries used to conduct the literature search,8,0,8,0
Report the total number of scientific literature databases used to conduct the literature search,8,0,8,0
Report the total number of studies used in the heterogeneiety investigation,8,0,8,0
Report the type of data extracted from each of the included studies,8,0,8,0
Report the unit of replication,8,0,8,0
Report the use of any internally classified automation tool(s) in the data collection process,8,0,8,0
Report the use of any internally classified automation tool(s) in the literature selection process,8,0,8,0
Report the use of automation tool(s) in designing the search string(s) in the literature database search,8,0,8,0
Report the use of automation tool(s) in the certainty of evidence assessment,8,0,8,0
Report the use of automation tool(s) in the data collection process,8,0,8,0
Report the use of automation tool(s) in the literature selection process,8,0,8,0
Report the use of automation tool(s) in the risk of bias assessment,8,0,8,0
Report the use of automation tool(s) in the the assessment of risk of bias due to missing results,8,0,8,0
Report the use of crowdsourcing in the literature selection process,8,0,8,0
Report the use of previously screened databases in the literature screening process,8,0,8,0
Report the version number of the software used to perform the meta-analysis,8,0,8,0
Report the version of automation tool(s) used in the literature selection process,8,0,8,0
Report the version of the internally classified automation tool(s) used in the data collection process,8,0,8,0
Report the version of the internally classified automation tool(s) used in the literature selection process,8,0,8,0
Report the weighting scheme used to assign weight to each effect size estimate,8,0,8,0
Report the year that the studies used to conduct the citation search were published,8,0,8,0
Report what triggered the current version of the living systematic review,8,0,8,0
Report whether a previously extracted dataset was used in the data collection process,8,0,8,0
Report whether any of the analysis were not pre-specified,8,0,8,0
Report whether any of the planned analysis could not be performed,8,0,8,0
Report whether any of the sensitivity analysis were not pre-specified,8,0,8,0
Report whether certainty of evidence was conducted independently,8,0,8,0
Report whether individual patient (or equivalent) data was extracted,8,0,8,0
Report whether risk of bias assessment was conducted independently,8,0,8,0
Report whether the contacted authors provided the data in its entirity or only a proportion,8,0,8,0
Report whether the data extraction variables were selected a priori,8,0,8,0
Report whether the literature search strategy was systematic,8,0,8,0
