study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,standardised_subsection,standardised_subsection_note,standardised_reporting_item_elements,standardised_reporting_item_elements_note,X,X.1
akl_2024,akl_2024,akl_2024_item1,Title,Title,1,Identify the report as a systematic review.,Title,Title ,,Report the methodology of the review,,NA,NA
akl_2024,akl_2024,akl_2024_item10,Methods,Living mode parameters,L1,Specify the living mode parameters.,Methodology,,living mode parameters,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item11,Methods,Living mode parameters,L1a,"Specify the planned schedule of the search for each source (e.g., at a prespecified interval, following predefined triggers).",Methodology,,living mode parameters,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item12,Methods,Living mode parameters,L1b,"Specify the planned schedules for the remaining steps of the systematic review (e.g., screening, data collection, risk of bias assessment, analysis, certainty of evidence assessment, publication).",Methodology,,living mode parameters,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item13,Methods,Living mode parameters,L1c,"Specify the plan for retirement from the living mode (e.g., based on a prespecified timeline, following predefined triggers), if there is one. If there is no such plan, indicate so.",Methodology,,living mode parameters,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item14,Methods,Eligibility criteria,5,Specify the inclusion and exclusion criteria for the review and how studies were grouped for the syntheses.,Methodology,,living mode parameters,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Information Sources and Search Strategy,,Report the scientific literature databases used to conduct the literature search,,NA,NA
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Information Sources and Search Strategy,,Report the registries used to conduct the literature search,,NA,NA
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Information Sources and Search Strategy,,Report the studies which were used to conduct a citation search,,NA,NA
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Information Sources and Search Strategy,,Report the date that the literature search was conducted,,NA,NA
akl_2024,akl_2024,akl_2024_item16,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,Information Sources and Search Strategy,,Report the boolean operators used within the scientific literature databases to conduct the literature search,,NA,NA
akl_2024,akl_2024,akl_2024_item16,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,Information Sources and Search Strategy,,Report the boolean operators used within the registries to conduct the literature search,,NA,NA
akl_2024,akl_2024,akl_2024_item16,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,Information Sources and Search Strategy,,Report any limitations set on the search strategy,,NA,NA
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report the methods used to decide whether a study met the inclusion criteria of the review,,NA,NA
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report the number of people who conducted the literature screening,,NA,NA
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report whether the literature screening was conducted independently or whether reviewers were aware of each other�s decisions,,NA,NA
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report the use of automation tools were used in the literature screening process,,NA,NA
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process and Data Items,,Report the strategy used to extract data from synthesised studies in the review,,NA,NA
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process and Data Items,,Report the number of people who conducted the data extraction,,NA,NA
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process and Data Items,,Report whether the data extraction was conducted independently or whether reviewers were aware of each other�s decisions,,NA,NA
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process and Data Items,,Report the use of automation tools in the data extraction process,,NA,NA
akl_2024,akl_2024,akl_2024_item19,Methods,Data collection process,9a,Describe whether the review team updated or planned to update collected data for a previously included study when relevant.,Methodology,Data Collection Process and Data Items,,Report the use of previously extracted databases in the data extraction process,,NA,NA
akl_2024,akl_2024,akl_2024_item2,Title,Title,1a,Identify the report as 'living' in the title.,Title,Title ,,Report the methodology of the review,,NA,NA
akl_2024,akl_2024,akl_2024_item20,Methods,Data items,10a,"List and define all outcomes for which data were sought. Specify whether all results that were compatible with each outcome domain in each study were sought (e.g., for all measures, time points, analyses), and if not, the methods used to decide which results to collect.",Methodology,Data Collection Process and Data Items,,Report all of the outcomes which data was extracted,,NA,NA
akl_2024,akl_2024,akl_2024_item21,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g., participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,Data Collection Process and Data Items,,Report all of the interventions which data was extracted,,NA,NA
akl_2024,akl_2024,akl_2024_item21,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g., participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,Data Collection Process and Data Items,,Report all of the populations which data was extracted,,NA,NA
akl_2024,akl_2024,akl_2024_item21,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g., participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,Data Collection Process and Data Items,,Report the strategy used for missing data,,NA,NA
akl_2024,akl_2024,akl_2024_item22,Methods,Study risk of bias assessment,11,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Study risk of bias assessment,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item23,Methods,Study risk of bias assessment,11a,Describe whether the review team updated or planned to update risk of bias information for a previously included study when relevant.,Methodology,Study risk of bias assessment,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item24,Methods,Effect measures,12,"Specify for each outcome the effect measure(s) (e.g., risk ratio, mean difference) used in the synthesis or presentation of results.",Methodology,Effect measures,,Report the effect size measured,,NA,NA
akl_2024,akl_2024,akl_2024_item25,Methods,Synthesis methods,13a,Describe the processes used to decide which studies were eligible for each synthesis.,Methodology,Eligibility Criteria,,Report the methods used to decide whether a study met the inclusion criteria of the review,,NA,NA
stanley_2013,stanley_2013,stanley_2013_item21,MRA Modeling Issues,MRA Modeling Issues,2.3,"A fully reported multiple MRA, along with the exact strategy used to simplify it (e.g. general-to-specific, Bayesian).",Methodology,Synthesis Methods,,NA,,NA,NA
