study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,standardised_subsection,standardised_subsection_note,standardised_reporting_item_elements,standardised_reporting_item_elements_note,,
akl_2024,akl_2024,akl_2024_item63,Discussion,Discussion,23d.ii,Describe and justify any planned changes to review methods in upcoming review versions.,Discussion,Living Mode Characterstics discussion,,Report a justification for any anticipated changes to the review in future versions,,,
akl_2024,akl_2024,akl_2024_item63,Discussion,Discussion,23d.ii,Describe and justify any planned changes to review methods in upcoming review versions.,Discussion,Living Mode Characterstics discussion,,Report any anticipated changes to the review in future versions of the review,,,
akl_2024,akl_2024,akl_2024_item64,Discussion,Discussion,23d.iii,"Indicate and justify whether the LSR is being retired from the living mode following the publication of the current version, if applicable.",Discussion,Living Mode Characterstics discussion,,Report any anticipated changes to the review in future versions of the review,,,
akl_2024,akl_2024,akl_2024_item29,Methods,Synthesis methods,13d.i,Report any analytical methods applied specifically because of the living mode.,Methodology,Living Mode Characteristics,,Report any changes made to the methodology since the previous version of the review,,,
akl_2024,akl_2024,akl_2024_item67,Other information,Registration and protocol,24c,Describe and explain any amendments to information provided at registration or in the protocol.,Other information,Registration and Protocol,,Report any deviations from the protocol or preregistration,,,
akl_2024,akl_2024,akl_2024_item16,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,Information Sources,,Report any limitations applied to the search strategy,,,
akl_2024,akl_2024,akl_2024_item21,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g., participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,Data Items,,Report each intervention for which data were extracted from the included studies,,,
akl_2024,akl_2024,akl_2024_item20,Methods,Data items,10a,"List and define all outcomes for which data were sought. Specify whether all results that were compatible with each outcome domain in each study were sought (e.g., for all measures, time points, analyses), and if not, the methods used to decide which results to collect.",Methodology,Data Items,,Report each outcome for which data were extracted from the included studies,,,
akl_2024,akl_2024,akl_2024_item21,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g., participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,Data Items,,Report each population for which data were extracted from the included studies,,,
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Search Strategy,,Report the date that the literature search was conducted,,,
akl_2024,akl_2024,akl_2024_item11,Methods,Living mode parameters,L1a,"Specify the planned schedule of the search for each source (e.g., at a prespecified interval, following predefined triggers).",Methodology,Living Mode Characteristics,living mode parameters,Report the dates that the literature database search was conducted,,,
akl_2024,akl_2024,akl_2024_item24,Methods,Effect measures,12,"Specify for each outcome the effect measure(s) (e.g., risk ratio, mean difference) used in the synthesis or presentation of results.",Methodology,Effect measures,,Report the effect measure used in the synthesis of the results,,,
akl_2024,akl_2024,akl_2024_item14,Methods,Eligibility criteria,5,Specify the inclusion and exclusion criteria for the review and how studies were grouped for the syntheses.,Methodology,Eligibility Criteria ,,Report the eligibility criteria for the review,,,
akl_2024,akl_2024,akl_2024_item10,Methods,Living mode parameters,L1,Specify the living mode parameters.,Methodology,Living Mode Characteristics,living mode parameters,Report the living mode parameters,,,
akl_2024,akl_2024,akl_2024_item31,Methods,Synthesis methods,13f,Describe any sensitivity analyses conducted to assess robustness of the synthesised results.,Methodology,Synthesis Methods (Sensitivity Analysis),,Report the method used in sensitivity analysis to test the robustness of the results,,,
akl_2024,akl_2024,akl_2024_item32,Methods,Reporting bias assessment,14,Describe any methods used to assess risk of bias due to missing results in a synthesis (arising from reporting biases).,Methodology,Reporting Bias Assessment,,Report the method used to assess for potential risk of bias due to missing studies,,,
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report the method used to assess study eligibility for inclusion in the review,,,
akl_2024,akl_2024,akl_2024_item25,Methods,Synthesis methods,13a,Describe the processes used to decide which studies were eligible for each synthesis.,Methodology,Synthesis Methods (eligibility for synthesis),,Report the method used to assess study eligibility for inclusion in the statistical synthesis,,,
akl_2024,akl_2024,akl_2024_item27,Methods,Synthesis methods,13c,Describe any methods used to tabulate or visually display results of individual studies and syntheses.,Methodology,Synthesis Methods (Tabulation and Graphical Methods),,Report the method used to visualise the results of the synthesis,,,
akl_2024,akl_2024,akl_2024_item28,Methods,Synthesis methods,13d,"Describe any methods used to synthesise results and provide a rationale for the choice(s). If meta-analysis was performed, describe the model(s), method(s) to identify the presence and extent of statistical heterogeneity, and software package(s) used.",Methodology,Synthesis Methods (Statistical Synthesis Methods),,Report the methodology used to assess heterogeneity,,,
akl_2024,akl_2024,akl_2024_item33,Methods,Certainty assessment,15,Describe any methods used to assess certainty (or confidence) in the body of evidence for an outcome.,Methodology,Certainty assessment,,Report the methodology used to assess the certainty of the evidence included in the review,,,
akl_2024,akl_2024,akl_2024_item1,Title,Title,1,Identify the report as a systematic review.,Title,Title ,,Report the methodology used to conduct the review,,,
akl_2024,akl_2024,akl_2024_item2,Title,Title,1a,Identify the report as 'living' in the title.,Title,Title ,,Report the methodology used to conduct the review,,,
akl_2024,akl_2024,akl_2024_item30,Methods,Synthesis methods,13e,"Describe any methods used to explore possible causes of heterogeneity among study results (e.g., subgroup analysis, meta-regression).",Methodology,Synthesis Methods (Methods to Explore Heterogeneity),,Report the methodology used to explore sources of heterogeneity,,,
akl_2024,akl_2024,akl_2024_item26,Methods,Synthesis methods,13b,"Describe any methods required to prepare the data for presentation or synthesis, such as handling of missing summary statistics, or data conversions.",Methodology,Synthesis Methods (Preparing for Synthesis),,Report the methodology used to prepare the data for statistical synthesis,,,
akl_2024,akl_2024,akl_2024_item65,Other information,Registration and protocol,24a,"Provide registration information for the review, including register name and registration number, or state that the review was not registered.",Other information,Registration and Protocol,,Report the name of the registry for the preregistration/protocol,,,
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process,,Report the number of reviewers who conducted the data collection process,,,
akl_2024,akl_2024,akl_2024_item22,Methods,Study risk of bias assessment,11,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Study risk of bias assessment,,Report the number of reviewers who conducted the risk of bias assessment,,,
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report the number of reviewers who conducted the selection process,,,
akl_2024,akl_2024,akl_2024_item9,Introduction,Objectives,4a,Describe and justify any changes since the preceding version to the review's objective(s) or question(s).,Introduction,Objectives,,Report the objectives of the review,,,
akl_2024,akl_2024,akl_2024_item13,Methods,Living mode parameters,L1c,"Specify the plan for retirement from the living mode (e.g., based on a prespecified timeline, following predefined triggers), if there is one. If there is no such plan, indicate so.",Methodology,Living Mode Characteristics,living mode parameters,Report the planned retirement for the review,,,
akl_2024,akl_2024,akl_2024_item12,Methods,Living mode parameters,L1b,"Specify the planned schedules for the remaining steps of the systematic review (e.g., screening, data collection, risk of bias assessment, analysis, certainty of evidence assessment, publication).",Methodology,Living Mode Characteristics,living mode parameters,Report the planned schedule for updating the review,,,
akl_2024,akl_2024,akl_2024_item65,Other information,Registration and protocol,24a,"Provide registration information for the review, including register name and registration number, or state that the review was not registered.",Other information,Registration and Protocol,,Report the registration number of the preregistration/protocol,,,
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Information Sources,,Report the registries used in the literature search,,,
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Information Sources,,Report the scientific literature databases used to conduct the literature search,,,
akl_2024,akl_2024,akl_2024_item16,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,Search Strategy,,Report the search terms used to conduct the literature search strategy for each each scientific literature database,,,
akl_2024,akl_2024,akl_2024_item16,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,Search Strategy,,Report the search terms used to conduct the literature search strategy for each registry,,,
akl_2024,akl_2024,akl_2024_item28,Methods,Synthesis methods,13d,"Describe any methods used to synthesise results and provide a rationale for the choice(s). If meta-analysis was performed, describe the model(s), method(s) to identify the presence and extent of statistical heterogeneity, and software package(s) used.",Methodology,Synthesis Methods (Statistical Synthesis Methods),,Report the software used to perform the statistical synthesis,,,
akl_2024,akl_2024,akl_2024_item21,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g., participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,Data Collection Process,,Report the strategy used to address missing data for the variables of interest,,,
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process,,Report the strategy used to collect data from the studies included in the review,,,
akl_2024,akl_2024,akl_2024_item28,Methods,Synthesis methods,13d,"Describe any methods used to synthesise results and provide a rationale for the choice(s). If meta-analysis was performed, describe the model(s), method(s) to identify the presence and extent of statistical heterogeneity, and software package(s) used.",Methodology,Synthesis Methods (Statistical Synthesis Methods),,Report the structure of each model used in the statistical synthesis,,,
akl_2024,akl_2024,akl_2024_item15,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists, and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,Information Sources,,Report the studies which were used to conduct a citation search,,,
akl_2024,akl_2024,akl_2024_item22,Methods,Study risk of bias assessment,11,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Study Risk of Bias Assessment,,Report the tool used to conduct the risk of bias assessment,,,
akl_2024,akl_2024,akl_2024_item22,Methods,Study risk of bias assessment,11,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Study risk of bias assessment,,Report the use of automation tools in risk of bias assessment,,,
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process,,Report the use of automation tools in the data extraction process,,,
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report the use of automation tools were used in the literature screening process,,,
akl_2024,akl_2024,akl_2024_item19,Methods,Data collection process,9a,Describe whether the review team updated or planned to update collected data for a previously included study when relevant.,Methodology,Data Collection Process,,Report the use of previously extracted databases in the data extraction process,,,
akl_2024,akl_2024,akl_2024_item3,Title,Title,1b,Provide the version number.,Title,Title ,,Report the version number of the review,version of living systematic review - still count this as methodlogy in title reporting,,
akl_2024,akl_2024,akl_2024_item65,Other information,Registration and protocol,24a,"Provide registration information for the review, including register name and registration number, or state that the review was not registered.",Other information,Registration and Protocol,,Report whether a protocol or preregistration is publicly available,,,
akl_2024,akl_2024,akl_2024_item66,Other information,Registration and protocol,24b,"Indicate where the review protocol can be accessed, or state that a protocol was not prepared.",Other information,Registration and Protocol,,Report whether a protocol or preregistration is publicly available,,,
akl_2024,akl_2024,akl_2024_item22,Methods,Study risk of bias assessment,11,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Study risk of bias assessment,,Report whether risk of bias assessment was conducted independently,,,
akl_2024,akl_2024,akl_2024_item18,Methods,Data collection process,9,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.",Methodology,Data Collection Process,,Report whether the data extraction was conducted independently,,,
akl_2024,akl_2024,akl_2024_item17,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,Selection Process,,Report whether the literature screening was conducted independently,,,
akl_2024,akl_2024,akl_2024_item23,Methods,Study risk of bias assessment,11a,Describe whether the review team updated or planned to update risk of bias information for a previously included study when relevant.,Methodology,Study risk of bias assessment,,Report whether the risk of bias assessment was updated after the initial assessment,,,
akl_2024,akl_2024,akl_2024_item34,Methods,Changes to the methods,L2,Describe changes to the methods.,Methodology,Living Mode Characteristics,,Report any changes made to the methodology since the previous version of the review,,,
